lighthouse fetchTime,form factor,overall score,speed_index,first_contentful_pain,first_meaningful_paint,time_to_interactive
2023-02-16T10:45:05.194Z,mobile,20.0,80.0,48.0,73.0,31.0
2023-02-16T10:45:18.557Z,desktop,70.0,97.0,94.0,94.0,96.0
